관리일자,지사,노선코드,노선명,방향,차로,시점,종점,포장형태,표층재,교면구분,교량명,공사구분
20120628,군포지사,0500,영동선,인천,3,28,28,아스팔트,,토공부,,확장
20111014,영주지사,0550,중앙선,부산,1,233,233,콘크리트,,토공부,,신설
20120628,군포지사,0500,영동선,인천,3,28,28,아스팔트,,교량부,삼삼육교,확장
1999,원주지사,0500,영동선,인천,1,148,148,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,인천,1,148,148,아스팔트,일반아스팔트,교량부,상대2교,확장
1999,원주지사,0500,영동선,인천,1,148,148,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,인천,1,148,149,아스팔트,일반아스팔트,교량부,횡성대교,확장
2001,부안지사,0150,서해안선,목포,2,59,59,아스팔트,일반아스팔트,교량부,와탄천교,신설
1999,대관령지사,0500,영동선,강릉,1,160,161,아스팔트,일반아스팔트,토공부,,확장
20081007,부안지사,0150,서해안선,목포,2,60,60,콘크리트,,토공부,,신설
1999,대관령지사,0500,영동선,강릉,1,161,161,아스팔트,일반아스팔트,교량부,우용1교,확장
1999,대관령지사,0500,영동선,인천,1,161,161,아스팔트,일반아스팔트,교량부,우용1교,확장
1999,대관령지사,0500,영동선,강릉,1,161,162,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,강릉,2,160,160,아스팔트,일반아스팔트,토공부,,확장
2009,수원지사,1711,오산화성선,오산,1,0,3,아스팔트,일반아스팔트,토공부,,신설
2009,수원지사,1711,오산화성선,오산,2,0,3,아스팔트,일반아스팔트,토공부,,신설
20080707,홍천지사,0550,중앙선,춘천,1,333,334,콘크리트,JCP,토공부,,신설
20150727,창녕지사,0450,중부내륙선,양평,2,9,9,아스팔트,,토공부,,확장
20080707,홍천지사,0550,중앙선,춘천,1,333,333,콘크리트,,토공부,,신설
