2015 12 15              0.38              0.38              -999              1.61
2015 12 16              0.50              0.50              -999              2.09
2015 12 17              0.63              0.63              2.64              2.62
2015 12 18              0.13              0.13              -999              0.55
2015 12 19              0.61              0.61              2.59              2.55
2015 12 20              0.39              0.39              -999              1.64
2015 12 21              0.42              0.42              -999              1.74
2015 12 22              0.54              0.54              2.51              2.26
2015 12 23              0.55              0.55              2.46              2.30
2015 12 24              0.52              0.52              -999              2.19
2015 12 25              0.62              0.62              2.60              2.58
2015 12 26              0.42              0.42              -999              1.75
2015 12 27              0.63              0.63              2.68              2.64
2015 12 28              0.60              0.60              2.61              2.51
2015 12 29              0.55              0.55              2.59              2.33
2015 12 30              0.33              0.33              -999              1.41
2015 12 31              0.51              0.51              -999              2.17
2016 01 01              0.35              0.35              -999              1.51
2016 01 02              0.48              0.48              -999              2.07
2016 01 03              0.40              0.40              -999              1.73
2016 01 04              0.60              0.60              2.61              2.60
2016 01 05              0.60              0.60              2.63              2.62
2016 01 06              0.39              0.39              -999              1.70
2016 01 07              0.62              0.62              2.73              2.72
2016 01 08              0.61              0.61              2.70              2.70
2016 01 09              0.61              0.61              2.73              2.71
2016 01 10              0.60              0.60              2.73              2.69
2016 01 11              0.63              0.63              2.84              2.84
2016 01 12              0.63              0.63              2.87              2.86
2016 01 13              0.43              0.43              -999              1.94
2016 01 14              0.58              0.58              -999              2.65
2016 01 15              0.61              0.61              -999              2.81
2016 01 16              0.38              0.38              -999              1.76
2016 01 17              0.35              0.35              -999              1.63
2016 01 18              0.58              0.58              -999              2.73
2016 01 19              0.60              0.60              -999              2.88
2016 01 20              0.55              0.55              3.04              2.62
2016 01 21              0.58              0.58              -999              2.79
2016 01 22              0.51              0.51              -999              2.46
2016 01 23              0.55              0.55              -999              2.72
2016 01 24              0.60              0.60              3.21              2.98
2016 01 25              0.64              0.64              3.19              3.19
2016 01 26              -999              -999              -999              2.91
2016 01 27              0.62              0.62              -999              3.17
2016 01 28              0.40              0.40              -999              2.04
2016 01 29              0.25              0.25              -999              1.28
2016 01 30              0.61              0.61              -999              3.18
2016 01 31              0.64              0.64              -999              3.39
2016 02 01              0.64              0.64              -999              3.40
2016 02 02              0.64              0.64              -999              3.46
2016 02 03              0.63              0.63              3.43              3.43
2016 02 04              0.59              0.59              -999              3.25
2016 02 05              0.60              0.60              -999              3.33
2016 02 06              0.64              0.64              3.60              3.60
2016 02 07              0.65              0.65              3.66              3.66
2016 02 08              0.41              0.41              -999              2.34
2016 02 09              0.64              0.64              3.71              3.67
2016 02 10              0.64              0.64              3.71              3.70
2016 02 11              0.36              0.36              -999              2.13
2016 02 12              0.14              0.14              -999              0.80
2016 02 13              0.21              0.21              -999              1.28
2016 02 14              0.27              0.27              -999              1.66
2016 02 15              0.66              0.66              4.06              4.04
2016 02 16              0.42              0.42              -999              2.62
2016 02 17              0.66              0.66              4.12              4.11
2016 02 18              0.54              0.54              -999              3.41
2016 02 19              0.16              0.16              -999              1.02
2016 02 20              0.66              0.66              -999              4.22
2016 02 21              0.66              0.66              -999              4.29
2016 02 22              0.41              0.41              -999              2.70
2016 02 23              0.67              0.67              -999              4.40
2016 02 24              0.68              0.68              4.59              4.55
2016 02 25              0.61              0.61              -999              4.10
2016 02 26              0.67              0.67              4.60              4.53
2016 02 27              0.65              0.65              -999              4.43
2016 02 28              0.09              0.09              -999              0.64
2016 02 29              0.54              0.54              -999              3.77
2016 03 01              0.63              0.63              -999              4.45
2016 03 02              0.48              0.48              4.48              3.46
2016 03 03              0.34              0.34              -999              2.47
2016 03 04              0.60              0.60              4.50              4.36
2016 03 05              0.04              0.04              -999              0.27
2016 03 06              0.63              0.63              4.73              4.67
2016 03 07              0.23              0.23              -999              1.70
2016 03 08              0.41              0.41              -999              3.12
2016 03 09              0.65              0.65              5.04              4.99
2016 03 10              0.66              0.66              5.12              5.09
2016 03 11              0.66              0.66              5.15              5.11
2016 03 12              0.49              0.49              -999              3.82
2016 03 13              0.30              0.30              -999              2.37
2016 03 14              0.63              0.63              -999              5.01
2016 03 15              0.65              0.65              5.29              5.20
2016 03 16              0.65              0.65              5.28              5.23
2016 03 17              0.40              0.40              -999              3.26
2016 03 18              0.56              0.56              -999              4.58
2016 03 19              0.64              0.64              5.40              5.27
2016 03 20              0.63              0.63              -999              5.26
2016 03 21              0.65              0.65              5.51              5.46
2016 03 22              0.56              0.56              -999              4.76
2016 03 23              0.64              0.64              -999              5.51
2016 03 24              0.66              0.66              5.70              5.66
2016 03 25              0.61              0.61              -999              5.32
2016 03 26              0.65              0.65              -999              5.65
2016 03 27              0.65              0.65              5.78              5.68
2016 03 28              0.65              0.65              5.85              5.80
2016 03 29              0.58              0.58              -999              5.19
2016 03 30              0.59              0.59              5.93              5.32
2016 03 31              0.56              0.56              -999              5.08
2016 04 01              0.64              0.64              -999              5.80
2016 04 02              0.59              0.59              5.70              5.43
2016 04 03              0.11              0.11              -999              0.99
2016 04 04              0.64              0.64              6.02              5.95
2016 04 05              0.64              0.64              6.08              5.96
2016 04 06              0.52              0.52              -999              4.91
2016 04 07              0.61              0.61              5.94              5.78
2016 04 08              0.44              0.44              -999              4.13
2016 04 09              0.19              0.19              -999              1.79
2016 04 10              0.46              0.46              -999              4.39
2016 04 11              0.65              0.65              6.29              6.25
2016 04 12              0.52              0.52              -999              5.02
2016 04 13              0.55              0.55              -999              5.39
2016 04 14              0.40              0.40              -999              3.95
2016 04 15              0.64              0.64              6.42              6.32
2016 04 16              0.16              0.16              -999              1.56
2016 04 17              0.62              0.62              -999              6.11
2016 04 18              0.64              0.64              6.54              6.41
2016 04 19              0.65              0.65              6.61              6.53
2016 04 20              0.34              0.34              -999              3.42
2016 04 21              0.17              0.17              -999              1.77
2016 04 22              0.29              0.29              -999              2.93
2016 04 23              0.51              0.51              -999              5.23
2016 04 24              0.66              0.66              6.89              6.77
2016 04 25              0.65              0.65              6.74              6.70
2016 04 26              0.59              0.59              -999              6.17
2016 04 27              0.21              0.21              -999              2.19
2016 04 28              0.59              0.59              -999              6.17
2016 04 29              0.65              0.65              6.90              6.86
2016 04 30              0.47              0.47              -999              4.99
2016 05 01              0.53              0.53              -999              5.62
2016 05 02              0.55              0.55              6.53              5.87
2016 05 03              0.07              0.07              -999              0.70
2016 05 04              0.64              0.64              6.89              6.86
2016 05 05              0.62              0.62              6.78              6.68
2016 05 06              0.19              0.19              -999              2.05
2016 05 07              0.64              0.64              7.01              6.88
2016 05 08              0.62              0.62              -999              6.77
2016 05 09              0.38              0.38              -999              4.16
2016 05 10              0.16              0.16              -999              1.80
2016 05 11              0.63              0.63              6.99              6.95
2016 05 12              0.62              0.62              -999              6.82
2016 05 13              0.66              0.66              7.26              7.24
2016 05 14              0.63              0.63              7.06              6.94
2016 05 15              0.23              0.23              -999              2.52
2016 05 16              0.64              0.64              7.27              7.17
2016 05 17              0.64              0.64              7.18              7.16
2016 05 18              0.64              0.64              7.25              7.18
2016 05 19              0.64              0.64              7.22              7.20
2016 05 20              0.64              0.64              7.18              7.15
2016 05 21              0.63              0.63              -999              7.10
2016 05 22              0.65              0.65              7.31              7.27
2016 05 23              0.40              0.40              -999              4.55
2016 05 24              0.38              0.38              -999              4.35
2016 05 25              0.49              0.49              -999              5.60
2016 05 26              0.04              0.04              -999              0.46
2016 05 27              0.53              0.53              7.29              6.00
2016 05 28              0.64              0.64              7.36              7.28
2016 05 29              0.59              0.59              7.19              6.69
2016 05 30              0.64              0.64              7.33              7.26
2016 05 31              0.60              0.60              -999              6.89
2016 06 01              0.60              0.60              6.99              6.92
2016 06 02              0.60              0.60              6.93              6.89
2016 06 03              0.59              0.59              -999              6.77
2016 06 04              0.28              0.28              -999              3.26
2016 06 05              0.60              0.60              6.90              6.88
2016 06 06              0.38              0.38              -999              4.35
2016 06 07              0.53              0.53              -999              6.15
2016 06 08              0.51              0.51              -999              5.92
2016 06 09              0.58              0.58              6.89              6.67
2016 06 10              0.58              0.58              -999              6.67
2016 06 11              0.22              0.22              -999              2.58
2016 06 12              0.30              0.30              -999              3.46
2016 06 13              0.55              0.55              6.86              6.41
2016 06 14              0.47              0.47              -999              5.38
2016 06 15              0.17              0.17              -999              1.97
2016 06 16              0.49              0.49              -999              5.70
2016 06 17              0.58              0.58              6.86              6.71
2016 06 18              0.58              0.58              -999              6.67
2016 06 19              0.54              0.54              6.81              6.30
2016 06 20              0.43              0.43              -999              4.92
2016 06 21              0.41              0.41              -999              4.69
2016 06 22              0.22              0.22              -999              2.55
2016 06 23              0.45              0.45              -999              5.18
2016 06 24              0.31              0.31              -999              3.54
2016 06 25              0.52              0.52              -999              5.97
2016 06 26              0.59              0.59              6.90              6.84
