2009 08 20    7.11   23.87   22.46   26.82   19.72   24.25              0.37              0.37              -999              3.77
2009 08 21    8.85   22.61   19.02   27.65   18.80   22.72              0.51              0.51              -999              5.06
2009 08 22    8.70   22.22   18.14   26.52   17.83   22.08              0.46              0.46              -999              4.64
2009 08 23    9.52   22.69   19.58   27.55   18.04   22.56              0.70              0.70              7.12              7.07
2009 08 24    9.84   23.07   18.63   27.06   17.22   22.63              0.63              0.63              6.74              6.39
2009 08 25    7.14   23.11   19.46   26.08   18.94   22.82              0.59              0.59              -999              5.78
2009 08 26    6.53   23.24   21.19   26.03   19.50   23.10              0.26              0.26              -999              2.61
2009 08 27    6.26   24.62   22.26   27.68   21.42   24.52              0.51              0.51              -999              5.01
2009 08 28    8.88   21.53   18.12   25.70   16.82   21.32              0.69              0.69              6.69              6.54
2009 08 29    8.84   19.04   15.78   22.57   13.73   18.50              0.40              0.40              -999              3.81
2009 08 30    7.13   19.98   16.12   23.81   16.69   19.58              0.35              0.35              -999              3.30
2009 08 31   10.03   20.86   16.63   24.92   14.89   20.25              0.68              0.68              6.53              6.42
2009 09 01   10.74   20.71   15.69   25.63   14.90   20.29              0.70              0.70              6.54              6.50
2009 09 02   10.71   20.73   15.71   25.53   14.82   20.21              0.66              0.66              6.47              6.41
2009 09 03    9.78   21.36   16.44   25.52   15.74   21.02              0.69              0.69              -999              6.35
2009 09 04    9.06   22.17   17.17   26.33   17.26   22.10              0.67              0.67              -999              6.07
2009 09 05    8.30   23.59   19.07   27.11   18.81   22.93              0.45              0.45              -999              4.17
2009 09 06    6.31   23.29   19.61   26.69   20.38   23.02              0.53              0.53              6.04              4.96
2009 09 07    7.83   23.11   19.67   26.27   18.44   22.36              0.42              0.42              -999              3.90
2009 09 08    9.72   21.38   16.73   25.37   15.64   20.49              0.69              0.69              6.23              6.14
2009 09 09    9.28   20.25   15.25   24.76   15.47   19.58              0.68              0.68              6.34              6.22
2009 09 10    9.60   19.33   13.40   24.06   14.46   18.95              0.65              0.65              -999              5.87
2009 09 11    7.78   18.55   13.82   22.63   14.85   18.60              0.36              0.36              -999              3.21
2009 09 12    6.90   19.02   15.60   21.65   14.74   18.54              0.59              0.59              -999              5.17
2009 09 13    9.75   19.31   14.61   23.84   14.09   19.22              0.69              0.69              6.06              5.98
2009 09 14    6.57   18.91   15.49   22.66   16.09   19.18              0.23              0.23              -999              1.99
2009 09 15    8.31   19.24   16.41   23.33   15.02   18.86              0.66              0.66              -999              5.63
2009 09 16   10.65   18.39   12.03   23.69   13.04   19.06              0.66              0.66              5.96              5.68
2009 09 17    9.25   18.80   12.63   23.80   14.55   19.42              0.64              0.64              -999              5.54
2009 09 18   10.54   19.20   14.50   25.13   14.59   19.19              0.67              0.67              5.84              5.75
2009 09 19   10.86   18.99   14.09   23.89   13.03   18.31              0.66              0.66              5.82              5.79
2009 09 20    9.24   18.29   13.62   22.26   13.02   18.23              0.52              0.52              -999              4.47
2009 09 21    6.58   17.55   15.47   20.35   13.77   17.77              0.17              0.17              -999              1.41
2009 09 22   10.52   17.30   10.36   22.75   12.23   17.65              0.71              0.71              -999              5.88
2009 09 23   10.44   18.10   12.38   23.71   13.27   18.34              0.69              0.69              5.93              5.84
2009 09 24    9.88   17.49   11.77   23.40   13.53   18.49              0.49              0.49              -999              3.98
2009 09 25    7.97   17.84   14.53   22.78   14.80   18.57              0.30              0.30              -999              2.45
2009 09 26   10.06   18.72   16.43   23.85   13.79   18.83              0.57              0.57              -999              4.48
2009 09 27    5.25   19.09   16.98   22.36   17.11   19.25              0.20              0.20              -999              1.62
2009 09 28    7.31   19.27   16.24   23.48   16.17   19.18              0.60              0.60              -999              4.68
2009 09 29   11.07   19.59   14.65   24.72   13.66   19.65              0.64              0.64              5.30              4.93
2009 09 30    8.30   20.19   15.94   24.63   16.33   20.51              0.66              0.66              5.24              5.07
